condition_id,event_market_name,question,token_outcome,token_outcome_name,unique_key
0x0de3f76fe9b60857833856bec4f30d815cdb0c283361112b46e13b759cd8ef38,single market,US x Iran ceasefire by April 10?,No,No-US x Iran ceasefire by April 10?,0x0de3f76fe9b60857833856bec4f30d815cdb0c283361112b46e13b759cd8ef38
0x0de3f76fe9b60857833856bec4f30d815cdb0c283361112b46e13b759cd8ef38,single market,US x Iran ceasefire by April 10?,Yes,Yes-US x Iran ceasefire by April 10?,0x0de3f76fe9b60857833856bec4f30d815cdb0c283361112b46e13b759cd8ef38
0x773abaa5fe55e5cde51a261f444b7921652a4e059ead6b3be9fe56499c2d4609,single market,US x Iran ceasefire by April 15?,No,No-US x Iran ceasefire by April 15?,0x773abaa5fe55e5cde51a261f444b7921652a4e059ead6b3be9fe56499c2d4609
0x773abaa5fe55e5cde51a261f444b7921652a4e059ead6b3be9fe56499c2d4609,single market,US x Iran ceasefire by April 15?,Yes,Yes-US x Iran ceasefire by April 15?,0x773abaa5fe55e5cde51a261f444b7921652a4e059ead6b3be9fe56499c2d4609
0x80059ff4e694f878c0498f6f3a067ee7ca62dc2fc46251a4287b58355ce47bc5,single market,US x Iran ceasefire by April 30?,No,No-US x Iran ceasefire by April 30?,0x80059ff4e694f878c0498f6f3a067ee7ca62dc2fc46251a4287b58355ce47bc5
0x80059ff4e694f878c0498f6f3a067ee7ca62dc2fc46251a4287b58355ce47bc5,single market,US x Iran ceasefire by April 30?,Yes,Yes-US x Iran ceasefire by April 30?,0x80059ff4e694f878c0498f6f3a067ee7ca62dc2fc46251a4287b58355ce47bc5
0x4c5701bcde0b8fb7d7f48c8e9d20245a6caa58c61a77f981fad98f2bfa0b1bc7,single market,US x Iran ceasefire by April 7?,No,No-US x Iran ceasefire by April 7?,0x4c5701bcde0b8fb7d7f48c8e9d20245a6caa58c61a77f981fad98f2bfa0b1bc7
0x4c5701bcde0b8fb7d7f48c8e9d20245a6caa58c61a77f981fad98f2bfa0b1bc7,single market,US x Iran ceasefire by April 7?,Yes,Yes-US x Iran ceasefire by April 7?,0x4c5701bcde0b8fb7d7f48c8e9d20245a6caa58c61a77f981fad98f2bfa0b1bc7
0x4ccff8c606ad71080c7611d28f1593a528a8ca6c11c1fb63bfa24a7eb2ad30d7,single market,US x Iran ceasefire by December 31?,No,No-US x Iran ceasefire by December 31?,0x4ccff8c606ad71080c7611d28f1593a528a8ca6c11c1fb63bfa24a7eb2ad30d7
0x4ccff8c606ad71080c7611d28f1593a528a8ca6c11c1fb63bfa24a7eb2ad30d7,single market,US x Iran ceasefire by December 31?,Yes,Yes-US x Iran ceasefire by December 31?,0x4ccff8c606ad71080c7611d28f1593a528a8ca6c11c1fb63bfa24a7eb2ad30d7
0x81b06cb917c9a2aabc67a7765bc3c640e88a699bbf451b29915049c0766cde04,single market,US x Iran ceasefire by June 30?,No,No-US x Iran ceasefire by June 30?,0x81b06cb917c9a2aabc67a7765bc3c640e88a699bbf451b29915049c0766cde04
0x81b06cb917c9a2aabc67a7765bc3c640e88a699bbf451b29915049c0766cde04,single market,US x Iran ceasefire by June 30?,Yes,Yes-US x Iran ceasefire by June 30?,0x81b06cb917c9a2aabc67a7765bc3c640e88a699bbf451b29915049c0766cde04
0x07d45de444dbe0595c068a9eade49ace2bd381e30d6a45022d801ec10e7d0294,single market,US x Iran ceasefire by March 15?,No,No-US x Iran ceasefire by March 15?,0x07d45de444dbe0595c068a9eade49ace2bd381e30d6a45022d801ec10e7d0294
0x07d45de444dbe0595c068a9eade49ace2bd381e30d6a45022d801ec10e7d0294,single market,US x Iran ceasefire by March 15?,Yes,Yes-US x Iran ceasefire by March 15?,0x07d45de444dbe0595c068a9eade49ace2bd381e30d6a45022d801ec10e7d0294
0x184f4a327edc0cd0af1f409980f6cc8d227fa96855625ce1ae9dad10e80057a1,single market,US x Iran ceasefire by March 2?,No,No-US x Iran ceasefire by March 2?,0x184f4a327edc0cd0af1f409980f6cc8d227fa96855625ce1ae9dad10e80057a1
0x184f4a327edc0cd0af1f409980f6cc8d227fa96855625ce1ae9dad10e80057a1,single market,US x Iran ceasefire by March 2?,Yes,Yes-US x Iran ceasefire by March 2?,0x184f4a327edc0cd0af1f409980f6cc8d227fa96855625ce1ae9dad10e80057a1
0x3c6bcb7da14ea576e5af25547dbd96f2bb24ac34e748e76aecff2ee9195dd1ac,single market,US x Iran ceasefire by March 31?,No,No-US x Iran ceasefire by March 31?,0x3c6bcb7da14ea576e5af25547dbd96f2bb24ac34e748e76aecff2ee9195dd1ac
0x3c6bcb7da14ea576e5af25547dbd96f2bb24ac34e748e76aecff2ee9195dd1ac,single market,US x Iran ceasefire by March 31?,Yes,Yes-US x Iran ceasefire by March 31?,0x3c6bcb7da14ea576e5af25547dbd96f2bb24ac34e748e76aecff2ee9195dd1ac
0x74d513ded76c21815373eae49004f36291d958b034087e7bb3669f156e3d116e,single market,US x Iran ceasefire by March 6?,No,No-US x Iran ceasefire by March 6?,0x74d513ded76c21815373eae49004f36291d958b034087e7bb3669f156e3d116e
0x74d513ded76c21815373eae49004f36291d958b034087e7bb3669f156e3d116e,single market,US x Iran ceasefire by March 6?,Yes,Yes-US x Iran ceasefire by March 6?,0x74d513ded76c21815373eae49004f36291d958b034087e7bb3669f156e3d116e
0xd9a8b5917a3bc25caf28784fddac39bc45a9f2fe4c63fbf4e3ac8684d8b757df,single market,US x Iran ceasefire by May 15?,No,No-US x Iran ceasefire by May 15?,0xd9a8b5917a3bc25caf28784fddac39bc45a9f2fe4c63fbf4e3ac8684d8b757df
0xd9a8b5917a3bc25caf28784fddac39bc45a9f2fe4c63fbf4e3ac8684d8b757df,single market,US x Iran ceasefire by May 15?,Yes,Yes-US x Iran ceasefire by May 15?,0xd9a8b5917a3bc25caf28784fddac39bc45a9f2fe4c63fbf4e3ac8684d8b757df
0xa9937410f8aae98cc6440a7480ad832be5a1a998afcf5a6e77c6f5aa4c0f259f,single market,US x Iran ceasefire by May 31?,No,No-US x Iran ceasefire by May 31?,0xa9937410f8aae98cc6440a7480ad832be5a1a998afcf5a6e77c6f5aa4c0f259f
0xa9937410f8aae98cc6440a7480ad832be5a1a998afcf5a6e77c6f5aa4c0f259f,single market,US x Iran ceasefire by May 31?,Yes,Yes-US x Iran ceasefire by May 31?,0xa9937410f8aae98cc6440a7480ad832be5a1a998afcf5a6e77c6f5aa4c0f259f
